"date","geography","geography code","Rural Urban","Residence Type: All categories: Residence type; measures: Value","Residence Type: Lives in a household; measures: Value","Residence Type: Lives in a communal establishment; measures: Value","Residence Type: Communal establishments with persons sleeping rough identified; measures: Value"
"2011","Lancashire","E10000017","Rural hamlet and isolated dwellings in a sparse setting",442,440,2,0
"2011","Knowsley","E08000011","Total",145893,144990,903,0
"2011","Knowsley","E08000011","Urban (total)",144900,143997,903,0
"2011","Knowsley","E08000011","Urban major conurbation",140576,139673,903,0
"2011","Knowsley","E08000011","Urban minor conurbation",0,0,0,0
"2011","Knowsley","E08000011","Urban city and town",4324,4324,0,0
"2011","Knowsley","E08000011","Urban city and town in a sparse setting",0,0,0,0
"2011","Knowsley","E08000011","Rural (total)",993,993,0,0
"2011","Knowsley","E08000011","Rural town and fringe",299,299,0,0
"2011","Knowsley","E08000011","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Knowsley","E08000011","Rural village",0,0,0,0
"2011","Knowsley","E08000011","Rural village in a sparse setting",0,0,0,0
"2011","Knowsley","E08000011","Rural hamlet and isolated dwellings",694,694,0,0
"2011","Knowsley","E08000011","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Liverpool","E08000012","Total",466415,450085,16330,2
"2011","Liverpool","E08000012","Urban (total)",466415,450085,16330,2
"2011","Liverpool","E08000012","Urban major conurbation",466415,450085,16330,2
"2011","Liverpool","E08000012","Urban minor conurbation",0,0,0,0
"2011","Liverpool","E08000012","Urban city and town",0,0,0,0
"2011","Liverpool","E08000012","Urban city and town in a sparse setting",0,0,0,0
"2011","Liverpool","E08000012","Rural (total)",0,0,0,0
"2011","Liverpool","E08000012","Rural town and fringe",0,0,0,0
"2011","Liverpool","E08000012","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Liverpool","E08000012","Rural village",0,0,0,0
"2011","Liverpool","E08000012","Rural village in a sparse setting",0,0,0,0
"2011","Liverpool","E08000012","Rural hamlet and isolated dwellings",0,0,0,0
"2011","Liverpool","E08000012","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Sefton","E08000014","Total",273790,269697,4093,1
"2011","Sefton","E08000014","Urban (total)",269811,265751,4060,1
"2011","Sefton","E08000014","Urban major conurbation",154733,153298,1435,0
"2011","Sefton","E08000014","Urban minor conurbation",0,0,0,0
"2011","Sefton","E08000014","Urban city and town",115078,112453,2625,1
"2011","Sefton","E08000014","Urban city and town in a sparse setting",0,0,0,0
"2011","Sefton","E08000014","Rural (total)",3979,3946,33,0
"2011","Sefton","E08000014","Rural town and fringe",2063,2063,0,0
"2011","Sefton","E08000014","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Sefton","E08000014","Rural village",1107,1074,33,0
"2011","Sefton","E08000014","Rural village in a sparse setting",0,0,0,0
"2011","Sefton","E08000014","Rural hamlet and isolated dwellings",809,809,0,0
"2011","Sefton","E08000014","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","St. Helens","E08000013","Total",175308,173958,1350,1
"2011","St. Helens","E08000013","Urban (total)",165579,164370,1209,1
"2011","St. Helens","E08000013","Urban major conurbation",158483,157331,1152,1
"2011","St. Helens","E08000013","Urban minor conurbation",0,0,0,0
"2011","St. Helens","E08000013","Urban city and town",7096,7039,57,0
"2011","St. Helens","E08000013","Urban city and town in a sparse setting",0,0,0,0
"2011","St. Helens","E08000013","Rural (total)",9729,9588,141,0
"2011","St. Helens","E08000013","Rural town and fringe",8131,7992,139,0
"2011","St. Helens","E08000013","Rural town and fringe in a sparse setting",0,0,0,0
"2011","St. Helens","E08000013","Rural village",345,343,2,0
"2011","St. Helens","E08000013","Rural village in a sparse setting",0,0,0,0
"2011","St. Helens","E08000013","Rural hamlet and isolated dwellings",1253,1253,0,0
"2011","St. Helens","E08000013","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Wirral","E08000015","Total",319783,316384,3399,0
"2011","Wirral","E08000015","Urban (total)",316245,312940,3305,0
"2011","Wirral","E08000015","Urban major conurbation",313774,310482,3292,0
"2011","Wirral","E08000015","Urban minor conurbation",0,0,0,0
"2011","Wirral","E08000015","Urban city and town",2471,2458,13,0
"2011","Wirral","E08000015","Urban city and town in a sparse setting",0,0,0,0
"2011","Wirral","E08000015","Rural (total)",3538,3444,94,0
"2011","Wirral","E08000015","Rural town and fringe",724,724,0,0
"2011","Wirral","E08000015","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Wirral","E08000015","Rural village",1110,1032,78,0
"2011","Wirral","E08000015","Rural village in a sparse setting",0,0,0,0
"2011","Wirral","E08000015","Rural hamlet and isolated dwellings",1704,1688,16,0
"2011","Wirral","E08000015","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","East Riding of Yorkshire","E06000011","Total",334179,326951,7228,0
"2011","East Riding of Yorkshire","E06000011","Urban (total)",187505,183405,4100,0
"2011","East Riding of Yorkshire","E06000011","Urban major conurbation",0,0,0,0
"2011","East Riding of Yorkshire","E06000011","Urban minor conurbation",0,0,0,0
"2011","East Riding of Yorkshire","E06000011","Urban city and town",187505,183405,4100,0
"2011","East Riding of Yorkshire","E06000011","Urban city and town in a sparse setting",0,0,0,0
"2011","East Riding of Yorkshire","E06000011","Rural (total)",146674,143546,3128,0
"2011","East Riding of Yorkshire","E06000011","Rural town and fringe",81176,80242,934,0
"2011","East Riding of Yorkshire","E06000011","Rural town and fringe in a sparse setting",0,0,0,0
"2011","East Riding of Yorkshire","E06000011","Rural village",50108,48809,1299,0
"2011","East Riding of Yorkshire","E06000011","Rural village in a sparse setting",0,0,0,0
"2011","East Riding of Yorkshire","E06000011","Rural hamlet and isolated dwellings",15390,14495,895,0
"2011","East Riding of Yorkshire","E06000011","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Total",256406,252748,3658,1
"2011","Kingston upon Hull, City of","E06000010","Urban (total)",256406,252748,3658,1
"2011","Kingston upon Hull, City of","E06000010","Urban major conurbation",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Urban minor conurbation",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Urban city and town",256406,252748,3658,1
"2011","Kingston upon Hull, City of","E06000010","Urban city and town in a sparse setting",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Rural (total)",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Rural town and fringe",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Rural village",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Rural village in a sparse setting",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Rural hamlet and isolated dwellings",0,0,0,0
"2011","Kingston upon Hull, City of","E06000010","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","North East Lincolnshire","E06000012","Total",159616,157786,1830,0
"2011","North East Lincolnshire","E06000012","Urban (total)",143802,142245,1557,0
"2011","North East Lincolnshire","E06000012","Urban major conurbation",0,0,0,0
"2011","North East Lincolnshire","E06000012","Urban minor conurbation",0,0,0,0
"2011","North East Lincolnshire","E06000012","Urban city and town",143802,142245,1557,0
"2011","North East Lincolnshire","E06000012","Urban city and town in a sparse setting",0,0,0,0
"2011","North East Lincolnshire","E06000012","Rural (total)",15814,15541,273,0
"2011","North East Lincolnshire","E06000012","Rural town and fringe",11171,11087,84,0
"2011","North East Lincolnshire","E06000012","Rural town and fringe in a sparse setting",0,0,0,0
"2011","North East Lincolnshire","E06000012","Rural village",2975,2935,40,0
"2011","North East Lincolnshire","E06000012","Rural village in a sparse setting",0,0,0,0
"2011","North East Lincolnshire","E06000012","Rural hamlet and isolated dwellings",1668,1519,149,0
"2011","North East Lincolnshire","E06000012","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","North Lincolnshire","E06000013","Total",167446,165871,1575,1
"2011","North Lincolnshire","E06000013","Urban (total)",92151,91375,776,1
"2011","North Lincolnshire","E06000013","Urban major conurbation",0,0,0,0
"2011","North Lincolnshire","E06000013","Urban minor conurbation",0,0,0,0
"2011","North Lincolnshire","E06000013","Urban city and town",92151,91375,776,1
"2011","North Lincolnshire","E06000013","Urban city and town in a sparse setting",0,0,0,0
"2011","North Lincolnshire","E06000013","Rural (total)",75295,74496,799,0
"2011","North Lincolnshire","E06000013","Rural town and fringe",48350,48011,339,0
"2011","North Lincolnshire","E06000013","Rural town and fringe in a sparse setting",0,0,0,0
"2011","North Lincolnshire","E06000013","Rural village",19672,19385,287,0
"2011","North Lincolnshire","E06000013","Rural village in a sparse setting",0,0,0,0
"2011","North Lincolnshire","E06000013","Rural hamlet and isolated dwellings",7273,7100,173,0
"2011","North Lincolnshire","E06000013","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","York","E06000014","Total",198051,190392,7659,2
"2011","York","E06000014","Urban (total)",165611,159124,6487,2
"2011","York","E06000014","Urban major conurbation",0,0,0,0
"2011","York","E06000014","Urban minor conurbation",0,0,0,0
"2011","York","E06000014","Urban city and town",165611,159124,6487,2
"2011","York","E06000014","Urban city and town in a sparse setting",0,0,0,0
"2011","York","E06000014","Rural (total)",32440,31268,1172,0
"2011","York","E06000014","Rural town and fringe",23880,23132,748,0
"2011","York","E06000014","Rural town and fringe in a sparse setting",0,0,0,0
"2011","York","E06000014","Rural village",6159,5806,353,0
"2011","York","E06000014","Rural village in a sparse setting",0,0,0,0
"2011","York","E06000014","Rural hamlet and isolated dwellings",2401,2330,71,0
"2011","York","E06000014","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","North Yorkshire","E10000023","Total",598376,582624,15752,6
"2011","North Yorkshire","E10000023","Urban (total)",270559,261405,9154,2
"2011","North Yorkshire","E10000023","Urban major conurbation",338,338,0,0
"2011","North Yorkshire","E10000023","Urban minor conurbation",0,0,0,0
"2011","North Yorkshire","E10000023","Urban city and town",257008,248192,8816,2
"2011","North Yorkshire","E10000023","Urban city and town in a sparse setting",13213,12875,338,0
"2011","North Yorkshire","E10000023","Rural (total)",327817,321219,6598,4
"2011","North Yorkshire","E10000023","Rural town and fringe",100167,98306,1861,0
"2011","North Yorkshire","E10000023","Rural town and fringe in a sparse setting",32311,31783,528,0
"2011","North Yorkshire","E10000023","Rural village",101997,99843,2154,0
"2011","North Yorkshire","E10000023","Rural village in a sparse setting",23101,22791,310,2
"2011","North Yorkshire","E10000023","Rural hamlet and isolated dwellings",55466,53864,1602,2
"2011","North Yorkshire","E10000023","Rural hamlet and isolated dwellings in a sparse setting",14775,14632,143,0
"2011","Barnsley","E08000016","Total",231221,229539,1682,0
"2011","Barnsley","E08000016","Urban (total)",207048,205566,1482,0
"2011","Barnsley","E08000016","Urban major conurbation",0,0,0,0
"2011","Barnsley","E08000016","Urban minor conurbation",184804,183356,1448,0
"2011","Barnsley","E08000016","Urban city and town",22244,22210,34,0
"2011","Barnsley","E08000016","Urban city and town in a sparse setting",0,0,0,0
"2011","Barnsley","E08000016","Rural (total)",24173,23973,200,0
"2011","Barnsley","E08000016","Rural town and fringe",14567,14401,166,0
"2011","Barnsley","E08000016","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Barnsley","E08000016","Rural village",5874,5864,10,0
"2011","Barnsley","E08000016","Rural village in a sparse setting",0,0,0,0
"2011","Barnsley","E08000016","Rural hamlet and isolated dwellings",3732,3708,24,0
"2011","Barnsley","E08000016","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Doncaster","E08000017","Total",302402,297200,5202,1
"2011","Doncaster","E08000017","Urban (total)",260240,257335,2905,1
"2011","Doncaster","E08000017","Urban major conurbation",0,0,0,0
"2011","Doncaster","E08000017","Urban minor conurbation",215009,212484,2525,1
"2011","Doncaster","E08000017","Urban city and town",45231,44851,380,0
"2011","Doncaster","E08000017","Urban city and town in a sparse setting",0,0,0,0
"2011","Doncaster","E08000017","Rural (total)",42162,39865,2297,0
"2011","Doncaster","E08000017","Rural town and fringe",27064,26953,111,0
"2011","Doncaster","E08000017","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Doncaster","E08000017","Rural village",10257,8391,1866,0
"2011","Doncaster","E08000017","Rural village in a sparse setting",0,0,0,0
"2011","Doncaster","E08000017","Rural hamlet and isolated dwellings",4841,4521,320,0
"2011","Doncaster","E08000017","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Rotherham","E08000018","Total",257280,255334,1946,5
"2011","Rotherham","E08000018","Urban (total)",231177,229373,1804,5
"2011","Rotherham","E08000018","Urban major conurbation",0,0,0,0
"2011","Rotherham","E08000018","Urban minor conurbation",185796,184282,1514,5
"2011","Rotherham","E08000018","Urban city and town",45381,45091,290,0
"2011","Rotherham","E08000018","Urban city and town in a sparse setting",0,0,0,0
"2011","Rotherham","E08000018","Rural (total)",26103,25961,142,0
"2011","Rotherham","E08000018","Rural town and fringe",20435,20349,86,0
"2011","Rotherham","E08000018","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Rotherham","E08000018","Rural village",3893,3839,54,0
"2011","Rotherham","E08000018","Rural village in a sparse setting",0,0,0,0
"2011","Rotherham","E08000018","Rural hamlet and isolated dwellings",1775,1773,2,0
"2011","Rotherham","E08000018","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Sheffield","E08000019","Total",552698,539064,13634,2
"2011","Sheffield","E08000019","Urban (total)",543008,529439,13569,2
"2011","Sheffield","E08000019","Urban major conurbation",0,0,0,0
"2011","Sheffield","E08000019","Urban minor conurbation",525842,512500,13342,1
"2011","Sheffield","E08000019","Urban city and town",17166,16939,227,1
"2011","Sheffield","E08000019","Urban city and town in a sparse setting",0,0,0,0
"2011","Sheffield","E08000019","Rural (total)",9690,9625,65,0
"2011","Sheffield","E08000019","Rural town and fringe",6060,6040,20,0
"2011","Sheffield","E08000019","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Sheffield","E08000019","Rural village",1630,1630,0,0
"2011","Sheffield","E08000019","Rural village in a sparse setting",0,0,0,0
"2011","Sheffield","E08000019","Rural hamlet and isolated dwellings",2000,1955,45,0
"2011","Sheffield","E08000019","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Bradford","E08000032","Total",522452,515315,7137,0
"2011","Bradford","E08000032","Urban (total)",486624,480220,6404,0
"2011","Bradford","E08000032","Urban major conurbation",398239,392854,5385,0
"2011","Bradford","E08000032","Urban minor conurbation",0,0,0,0
"2011","Bradford","E08000032","Urban city and town",88385,87366,1019,0
"2011","Bradford","E08000032","Urban city and town in a sparse setting",0,0,0,0
"2011","Bradford","E08000032","Rural (total)",35828,35095,733,0
"2011","Bradford","E08000032","Rural town and fringe",26924,26279,645,0
"2011","Bradford","E08000032","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Bradford","E08000032","Rural village",1131,1131,0,0
"2011","Bradford","E08000032","Rural village in a sparse setting",0,0,0,0
"2011","Bradford","E08000032","Rural hamlet and isolated dwellings",7773,7685,88,0
"2011","Bradford","E08000032","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Calderdale","E08000033","Total",203826,202376,1450,1
"2011","Calderdale","E08000033","Urban (total)",164600,163280,1320,1
"2011","Calderdale","E08000033","Urban major conurbation",148908,147784,1124,1
"2011","Calderdale","E08000033","Urban minor conurbation",0,0,0,0
"2011","Calderdale","E08000033","Urban city and town",15692,15496,196,0
"2011","Calderdale","E08000033","Urban city and town in a sparse setting",0,0,0,0
"2011","Calderdale","E08000033","Rural (total)",39226,39096,130,0
"2011","Calderdale","E08000033","Rural town and fringe",20266,20166,100,0
"2011","Calderdale","E08000033","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Calderdale","E08000033","Rural village",7292,7280,12,0
"2011","Calderdale","E08000033","Rural village in a sparse setting",0,0,0,0
"2011","Calderdale","E08000033","Rural hamlet and isolated dwellings",11668,11650,18,0
"2011","Calderdale","E08000033","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Kirklees","E08000034","Total",422458,416840,5618,1
"2011","Kirklees","E08000034","Urban (total)",373540,369389,4151,1
"2011","Kirklees","E08000034","Urban major conurbation",351616,347604,4012,1
"2011","Kirklees","E08000034","Urban minor conurbation",0,0,0,0
"2011","Kirklees","E08000034","Urban city and town",21924,21785,139,0
"2011","Kirklees","E08000034","Urban city and town in a sparse setting",0,0,0,0
"2011","Kirklees","E08000034","Rural (total)",48918,47451,1467,0
"2011","Kirklees","E08000034","Rural town and fringe",33271,33075,196,0
"2011","Kirklees","E08000034","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Kirklees","E08000034","Rural village",8983,7822,1161,0
"2011","Kirklees","E08000034","Rural village in a sparse setting",0,0,0,0
"2011","Kirklees","E08000034","Rural hamlet and isolated dwellings",6664,6554,110,0
"2011","Kirklees","E08000034","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Leeds","E08000035","Total",751485,731373,20112,1
"2011","Leeds","E08000035","Urban (total)",708450,689296,19154,1
"2011","Leeds","E08000035","Urban major conurbation",656134,637599,18535,1
"2011","Leeds","E08000035","Urban minor conurbation",0,0,0,0
"2011","Leeds","E08000035","Urban city and town",52316,51697,619,0
"2011","Leeds","E08000035","Urban city and town in a sparse setting",0,0,0,0
"2011","Leeds","E08000035","Rural (total)",43035,42077,958,0
"2011","Leeds","E08000035","Rural town and fringe",30197,30056,141,0
"2011","Leeds","E08000035","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Leeds","E08000035","Rural village",9115,8301,814,0
"2011","Leeds","E08000035","Rural village in a sparse setting",0,0,0,0
"2011","Leeds","E08000035","Rural hamlet and isolated dwellings",3723,3720,3,0
"2011","Leeds","E08000035","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Wakefield","E08000036","Total",325837,322264,3573,3
"2011","Wakefield","E08000036","Urban (total)",268009,265139,2870,3
"2011","Wakefield","E08000036","Urban major conurbation",129269,127452,1817,3
"2011","Wakefield","E08000036","Urban minor conurbation",0,0,0,0
"2011","Wakefield","E08000036","Urban city and town",138740,137687,1053,0
"2011","Wakefield","E08000036","Urban city and town in a sparse setting",0,0,0,0
"2011","Wakefield","E08000036","Rural (total)",57828,57125,703,0
"2011","Wakefield","E08000036","Rural town and fringe",44793,44455,338,0
"2011","Wakefield","E08000036","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Wakefield","E08000036","Rural village",10504,10475,29,0
"2011","Wakefield","E08000036","Rural village in a sparse setting",0,0,0,0
"2011","Wakefield","E08000036","Rural hamlet and isolated dwellings",2531,2195,336,0
"2011","Wakefield","E08000036","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Derby","E06000015","Total",248752,244625,4127,1
"2011","Derby","E06000015","Urban (total)",248752,244625,4127,1
"2011","Derby","E06000015","Urban major conurbation",0,0,0,0
"2011","Derby","E06000015","Urban minor conurbation",0,0,0,0
"2011","Derby","E06000015","Urban city and town",248752,244625,4127,1
"2011","Derby","E06000015","Urban city and town in a sparse setting",0,0,0,0
"2011","Derby","E06000015","Rural (total)",0,0,0,0
"2011","Derby","E06000015","Rural town and fringe",0,0,0,0
"2011","Derby","E06000015","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Derby","E06000015","Rural village",0,0,0,0
"2011","Derby","E06000015","Rural village in a sparse setting",0,0,0,0
"2011","Derby","E06000015","Rural hamlet and isolated dwellings",0,0,0,0
"2011","Derby","E06000015","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Leicester","E06000016","Total",329839,321527,8312,1
"2011","Leicester","E06000016","Urban (total)",329283,320971,8312,1
"2011","Leicester","E06000016","Urban major conurbation",0,0,0,0
"2011","Leicester","E06000016","Urban minor conurbation",0,0,0,0
"2011","Leicester","E06000016","Urban city and town",329283,320971,8312,1
"2011","Leicester","E06000016","Urban city and town in a sparse setting",0,0,0,0
"2011","Leicester","E06000016","Rural (total)",556,556,0,0
"2011","Leicester","E06000016","Rural town and fringe",0,0,0,0
"2011","Leicester","E06000016","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Leicester","E06000016","Rural village",0,0,0,0
"2011","Leicester","E06000016","Rural village in a sparse setting",0,0,0,0
"2011","Leicester","E06000016","Rural hamlet and isolated dwellings",556,556,0,0
"2011","Leicester","E06000016","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Nottingham","E06000018","Total",305680,289738,15942,3
"2011","Nottingham","E06000018","Urban (total)",305680,289738,15942,3
"2011","Nottingham","E06000018","Urban major conurbation",0,0,0,0
"2011","Nottingham","E06000018","Urban minor conurbation",305680,289738,15942,3
"2011","Nottingham","E06000018","Urban city and town",0,0,0,0
"2011","Nottingham","E06000018","Urban city and town in a sparse setting",0,0,0,0
"2011","Nottingham","E06000018","Rural (total)",0,0,0,0
"2011","Nottingham","E06000018","Rural town and fringe",0,0,0,0
"2011","Nottingham","E06000018","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Nottingham","E06000018","Rural village",0,0,0,0
"2011","Nottingham","E06000018","Rural village in a sparse setting",0,0,0,0
"2011","Nottingham","E06000018","Rural hamlet and isolated dwellings",0,0,0,0
"2011","Nottingham","E06000018","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Rutland","E06000017","Total",37369,34252,3117,0
"2011","Rutland","E06000017","Urban (total)",11522,10979,543,0
"2011","Rutland","E06000017","Urban major conurbation",0,0,0,0
"2011","Rutland","E06000017","Urban minor conurbation",0,0,0,0
"2011","Rutland","E06000017","Urban city and town",11522,10979,543,0
"2011","Rutland","E06000017","Urban city and town in a sparse setting",0,0,0,0
"2011","Rutland","E06000017","Rural (total)",25847,23273,2574,0
"2011","Rutland","E06000017","Rural town and fringe",9181,8154,1027,0
"2011","Rutland","E06000017","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Rutland","E06000017","Rural village",16038,14506,1532,0
"2011","Rutland","E06000017","Rural village in a sparse setting",0,0,0,0
"2011","Rutland","E06000017","Rural hamlet and isolated dwellings",628,613,15,0
"2011","Rutland","E06000017","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Derbyshire","E10000007","Total",769686,760840,8846,1
"2011","Derbyshire","E10000007","Urban (total)",561502,556145,5357,1
"2011","Derbyshire","E10000007","Urban major conurbation",31080,30848,232,0
"2011","Derbyshire","E10000007","Urban minor conurbation",207595,205784,1811,0
"2011","Derbyshire","E10000007","Urban city and town",322827,319513,3314,1
"2011","Derbyshire","E10000007","Urban city and town in a sparse setting",0,0,0,0
"2011","Derbyshire","E10000007","Rural (total)",208184,204695,3489,0
"2011","Derbyshire","E10000007","Rural town and fringe",112290,110690,1600,0
"2011","Derbyshire","E10000007","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Derbyshire","E10000007","Rural village",64908,63931,977,0
"2011","Derbyshire","E10000007","Rural village in a sparse setting",0,0,0,0
"2011","Derbyshire","E10000007","Rural hamlet and isolated dwellings",30986,30074,912,0
"2011","Derbyshire","E10000007","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Leicestershire","E10000018","Total",650489,636274,14215,0
"2011","Leicestershire","E10000018","Urban (total)",451913,440191,11722,0
"2011","Leicestershire","E10000018","Urban major conurbation",0,0,0,0
"2011","Leicestershire","E10000018","Urban minor conurbation",0,0,0,0
"2011","Leicestershire","E10000018","Urban city and town",451913,440191,11722,0
"2011","Leicestershire","E10000018","Urban city and town in a sparse setting",0,0,0,0
"2011","Leicestershire","E10000018","Rural (total)",198576,196083,2493,0
"2011","Leicestershire","E10000018","Rural town and fringe",114901,114232,669,0
"2011","Leicestershire","E10000018","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Leicestershire","E10000018","Rural village",69471,68649,822,0
"2011","Leicestershire","E10000018","Rural village in a sparse setting",0,0,0,0
"2011","Leicestershire","E10000018","Rural hamlet and isolated dwellings",14204,13202,1002,0
"2011","Leicestershire","E10000018","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Lincolnshire","E10000019","Total",713653,698748,14905,5
"2011","Lincolnshire","E10000019","Urban (total)",370388,360413,9975,2
"2011","Lincolnshire","E10000019","Urban major conurbation",0,0,0,0
"2011","Lincolnshire","E10000019","Urban minor conurbation",0,0,0,0
"2011","Lincolnshire","E10000019","Urban city and town",358224,348543,9681,2
"2011","Lincolnshire","E10000019","Urban city and town in a sparse setting",12164,11870,294,0
"2011","Lincolnshire","E10000019","Rural (total)",343265,338335,4930,3
"2011","Lincolnshire","E10000019","Rural town and fringe",146932,145021,1911,2
"2011","Lincolnshire","E10000019","Rural town and fringe in a sparse setting",6504,6389,115,0
"2011","Lincolnshire","E10000019","Rural village",120962,119315,1647,1
"2011","Lincolnshire","E10000019","Rural village in a sparse setting",11359,11246,113,0
"2011","Lincolnshire","E10000019","Rural hamlet and isolated dwellings",49701,48715,986,0
"2011","Lincolnshire","E10000019","Rural hamlet and isolated dwellings in a sparse setting",7807,7649,158,0
"2011","Northamptonshire","E10000021","Total",691952,681850,10102,3
"2011","Northamptonshire","E10000021","Urban (total)",471327,465347,5980,2
"2011","Northamptonshire","E10000021","Urban major conurbation",0,0,0,0
"2011","Northamptonshire","E10000021","Urban minor conurbation",0,0,0,0
"2011","Northamptonshire","E10000021","Urban city and town",471327,465347,5980,2
"2011","Northamptonshire","E10000021","Urban city and town in a sparse setting",0,0,0,0
"2011","Northamptonshire","E10000021","Rural (total)",220625,216503,4122,1
"2011","Northamptonshire","E10000021","Rural town and fringe",134088,132092,1996,0
"2011","Northamptonshire","E10000021","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Northamptonshire","E10000021","Rural village",74005,72082,1923,1
"2011","Northamptonshire","E10000021","Rural village in a sparse setting",0,0,0,0
"2011","Northamptonshire","E10000021","Rural hamlet and isolated dwellings",12532,12329,203,0
"2011","Northamptonshire","E10000021","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Nottinghamshire","E10000024","Total",785802,774338,11464,3
"2011","Nottinghamshire","E10000024","Urban (total)",572527,567238,5289,3
"2011","Nottinghamshire","E10000024","Urban major conurbation",0,0,0,0
"2011","Nottinghamshire","E10000024","Urban minor conurbation",281375,279106,2269,2
"2011","Nottinghamshire","E10000024","Urban city and town",291152,288132,3020,1
"2011","Nottinghamshire","E10000024","Urban city and town in a sparse setting",0,0,0,0
"2011","Nottinghamshire","E10000024","Rural (total)",213275,207100,6175,0
"2011","Nottinghamshire","E10000024","Rural town and fringe",138128,137025,1103,0
"2011","Nottinghamshire","E10000024","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Nottinghamshire","E10000024","Rural village",57665,54135,3530,0
"2011","Nottinghamshire","E10000024","Rural village in a sparse setting",0,0,0,0
"2011","Nottinghamshire","E10000024","Rural hamlet and isolated dwellings",17482,15940,1542,0
"2011","Nottinghamshire","E10000024","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Herefordshire, County of","E06000019","Total",183477,180595,2882,1
"2011","Herefordshire, County of","E06000019","Urban (total)",84335,83178,1157,1
"2011","Herefordshire, County of","E06000019","Urban major conurbation",0,0,0,0
"2011","Herefordshire, County of","E06000019","Urban minor conurbation",0,0,0,0
"2011","Herefordshire, County of","E06000019","Urban city and town",82342,81194,1148,1
"2011","Herefordshire, County of","E06000019","Urban city and town in a sparse setting",1993,1984,9,0
"2011","Herefordshire, County of","E06000019","Rural (total)",99142,97417,1725,0
"2011","Herefordshire, County of","E06000019","Rural town and fringe",15437,15074,363,0
"2011","Herefordshire, County of","E06000019","Rural town and fringe in a sparse setting",2427,2370,57,0
"2011","Herefordshire, County of","E06000019","Rural village",32874,32396,478,0
